dataset,regime,pool_id,compared_against,n_common_queries,mean_removed_edge_jaccard,median_removed_edge_jaccard
scidocs,ms2,equal_depth_union,rrf_union_topk,120,1.0,1.0
scidocs,ms2,neutral_round_robin_union,rrf_union_topk,120,1.0,1.0
scidocs,ms2,bm25_only,rrf_union_topk,120,1.0,1.0
scidocs,ms2,combsum_union_topk,rrf_union_topk,120,1.0,1.0
scidocs,ms1,equal_depth_union,rrf_union_topk,120,0.47224090682529496,0.4624431970061481
scidocs,ms1,neutral_round_robin_union,rrf_union_topk,120,0.43811131103162093,0.42343987823439877
scidocs,ms1,bm25_only,rrf_union_topk,120,0.364745430010327,0.31768855127509493
scidocs,ms1,combsum_union_topk,rrf_union_topk,120,0.5509838138698532,0.5714285714285714
scidocs,ms1_drop_mutual,equal_depth_union,rrf_union_topk,120,0.2855014492852792,0.0
scidocs,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,120,0.4840540511907789,0.19806763285024154
scidocs,ms1_drop_mutual,bm25_only,rrf_union_topk,120,0.8833333333333333,1.0
scidocs,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,120,0.6834431710418551,1.0
fiqa,ms2,equal_depth_union,rrf_union_topk,120,1.0,1.0
fiqa,ms2,neutral_round_robin_union,rrf_union_topk,120,1.0,1.0
fiqa,ms2,bm25_only,rrf_union_topk,120,1.0,1.0
fiqa,ms2,combsum_union_topk,rrf_union_topk,120,1.0,1.0
fiqa,ms1,equal_depth_union,rrf_union_topk,120,0.44897744517473626,0.4277777777777778
fiqa,ms1,neutral_round_robin_union,rrf_union_topk,120,0.39470192937067594,0.38013136288998356
fiqa,ms1,bm25_only,rrf_union_topk,120,0.30880570212476527,0.2675267770204479
fiqa,ms1,combsum_union_topk,rrf_union_topk,120,0.517689974107229,0.5196029776674937
fiqa,ms1_drop_mutual,equal_depth_union,rrf_union_topk,120,0.3914569000992272,0.10977443609022555
fiqa,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,120,0.5217750878348704,0.55
fiqa,ms1_drop_mutual,bm25_only,rrf_union_topk,120,0.6916666666666667,1.0
fiqa,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,120,0.5968941681010096,1.0
hotpotqa,ms2,equal_depth_union,rrf_union_topk,52,1.0,1.0
hotpotqa,ms2,neutral_round_robin_union,rrf_union_topk,52,1.0,1.0
hotpotqa,ms2,bm25_only,rrf_union_topk,52,1.0,1.0
hotpotqa,ms2,combsum_union_topk,rrf_union_topk,52,1.0,1.0
hotpotqa,ms1,equal_depth_union,rrf_union_topk,52,0.6126286460019102,0.7142857142857143
hotpotqa,ms1,neutral_round_robin_union,rrf_union_topk,52,0.7131838177709731,0.9166666666666667
hotpotqa,ms1,bm25_only,rrf_union_topk,52,0.6313377001339068,0.7928571428571429
hotpotqa,ms1,combsum_union_topk,rrf_union_topk,52,0.764746506701734,0.9379699248120301
hotpotqa,ms1_drop_mutual,equal_depth_union,rrf_union_topk,52,0.9038461538461539,1.0
hotpotqa,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,52,0.9615384615384616,1.0
hotpotqa,ms1_drop_mutual,bm25_only,rrf_union_topk,52,0.9807692307692307,1.0
hotpotqa,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,52,0.9615384615384616,1.0
bright,ms2,equal_depth_union,rrf_union_topk,50,1.0,1.0
bright,ms2,neutral_round_robin_union,rrf_union_topk,50,1.0,1.0
bright,ms2,bm25_only,rrf_union_topk,50,1.0,1.0
bright,ms2,combsum_union_topk,rrf_union_topk,50,1.0,1.0
bright,ms1,equal_depth_union,rrf_union_topk,50,0.47873301931064843,0.3927710843373494
bright,ms1,neutral_round_robin_union,rrf_union_topk,50,0.5165774224232272,0.4607692307692308
bright,ms1,bm25_only,rrf_union_topk,50,0.305967662227373,0.2189514998598262
bright,ms1,combsum_union_topk,rrf_union_topk,50,0.5919495912747583,0.5989278752436646
bright,ms1_drop_mutual,equal_depth_union,rrf_union_topk,50,0.612559078590786,1.0
bright,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,50,0.6853968253968253,1.0
bright,ms1_drop_mutual,bm25_only,rrf_union_topk,50,0.78,1.0
bright,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,50,0.7547142857142858,1.0
