dataset,regime,pool_id,compared_against,n_common_queries_with_2plus_shared_docs,mean_pairwise_rank_agreement,median_pairwise_rank_agreement
scidocs,ms2,equal_depth_union,rrf_union_topk,120,0.9558243270317575,0.9631578947368421
scidocs,ms2,neutral_round_robin_union,rrf_union_topk,120,0.9567355450850032,0.967032967032967
scidocs,ms2,bm25_only,rrf_union_topk,120,0.9674479744255287,0.9809523809523809
scidocs,ms2,combsum_union_topk,rrf_union_topk,120,0.9636350109299026,0.975
scidocs,ms1,equal_depth_union,rrf_union_topk,120,0.9515074986359816,0.9578947368421052
scidocs,ms1,neutral_round_robin_union,rrf_union_topk,120,0.9576273006749012,0.9666666666666667
scidocs,ms1,bm25_only,rrf_union_topk,120,0.9610405784302843,0.967032967032967
scidocs,ms1,combsum_union_topk,rrf_union_topk,120,0.9633745559422804,0.9714285714285714
scidocs,ms1_drop_mutual,equal_depth_union,rrf_union_topk,120,0.9481597651431242,0.9578947368421052
scidocs,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,120,0.9499218543181392,0.9560439560439561
scidocs,ms1_drop_mutual,bm25_only,rrf_union_topk,120,0.9582503056225966,0.9701426024955437
scidocs,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,120,0.9637242387958331,0.9671766142354378
fiqa,ms2,equal_depth_union,rrf_union_topk,120,0.9497668355466343,0.9584795321637427
fiqa,ms2,neutral_round_robin_union,rrf_union_topk,120,0.9400580886977946,0.9555555555555556
fiqa,ms2,bm25_only,rrf_union_topk,120,0.9640469756278579,0.9714285714285714
fiqa,ms2,combsum_union_topk,rrf_union_topk,120,0.9563852008414702,0.9651515151515151
fiqa,ms1,equal_depth_union,rrf_union_topk,120,0.9479247271333185,0.9558823529411765
fiqa,ms1,neutral_round_robin_union,rrf_union_topk,120,0.9485808812647049,0.9615384615384616
fiqa,ms1,bm25_only,rrf_union_topk,120,0.9568784497093321,0.9619047619047619
fiqa,ms1,combsum_union_topk,rrf_union_topk,120,0.9564750479282212,0.9625700280112045
fiqa,ms1_drop_mutual,equal_depth_union,rrf_union_topk,120,0.9455005474974515,0.9473684210526315
fiqa,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,120,0.9423773176714353,0.9523809523809523
fiqa,ms1_drop_mutual,bm25_only,rrf_union_topk,120,0.9501849593761359,0.9560439560439561
fiqa,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,120,0.95574831658423,0.9636363636363636
hotpotqa,ms2,equal_depth_union,rrf_union_topk,52,0.9640873015873017,0.975
hotpotqa,ms2,neutral_round_robin_union,rrf_union_topk,52,0.9677350427350427,1.0
hotpotqa,ms2,bm25_only,rrf_union_topk,52,0.9646520146520146,1.0
hotpotqa,ms2,combsum_union_topk,rrf_union_topk,52,0.9700702075702075,1.0
hotpotqa,ms1,equal_depth_union,rrf_union_topk,52,0.9728479853479853,0.9777777777777777
hotpotqa,ms1,neutral_round_robin_union,rrf_union_topk,52,0.9815018315018315,1.0
hotpotqa,ms1,bm25_only,rrf_union_topk,52,0.9758547008547009,1.0
hotpotqa,ms1,combsum_union_topk,rrf_union_topk,52,0.9727106227106227,1.0
hotpotqa,ms1_drop_mutual,equal_depth_union,rrf_union_topk,52,0.9680860805860806,0.9777777777777777
hotpotqa,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,52,0.9762667887667887,1.0
hotpotqa,ms1_drop_mutual,bm25_only,rrf_union_topk,52,0.9702991452991453,1.0
hotpotqa,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,52,0.9658882783882782,1.0
bright,ms2,equal_depth_union,rrf_union_topk,50,0.9586689428562495,0.9706742346061231
bright,ms2,neutral_round_robin_union,rrf_union_topk,50,0.9597531836928122,0.9743589743589743
bright,ms2,bm25_only,rrf_union_topk,50,0.9424690505572858,0.9634358288770053
bright,ms2,combsum_union_topk,rrf_union_topk,50,0.9621216559498293,0.9710084033613445
bright,ms1,equal_depth_union,rrf_union_topk,50,0.9488899365168716,0.9584795321637427
bright,ms1,neutral_round_robin_union,rrf_union_topk,50,0.9515010029530154,0.9668498168498169
bright,ms1,bm25_only,rrf_union_topk,50,0.9537919727331494,0.9732905982905983
bright,ms1,combsum_union_topk,rrf_union_topk,50,0.9529407283463012,0.967032967032967
bright,ms1_drop_mutual,equal_depth_union,rrf_union_topk,50,0.9481888075804484,0.9578947368421052
bright,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,50,0.9482587345574962,0.9550505050505051
bright,ms1_drop_mutual,bm25_only,rrf_union_topk,50,0.9473859735036205,0.9639610389610389
bright,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,50,0.9524212249738565,0.967032967032967
