dataset,regime,pair_name,n_queries,mean_delta_ndcg,bootstrap_ci_low,bootstrap_ci_high,bootstrap_fraction_means_gt_zero,paired_permutation_pvalue,holm_adjusted_pvalue,bh_adjusted_pvalue,reject_holm_0p05,reject_bh_0p05
bright,ms1,bradley_terry_graph,50,-0.013085208051838446,-0.03796899842677657,0.009933191844073345,0.1437,0.31666833316668336,1.0,1.0,False,False
bright,ms1,markov_hybrid,50,0.002594420109755405,-0.002756964555494473,0.011214639263988736,0.6276,1.0,1.0,1.0,False,False
bright,ms1,pagerank_graph,50,0.00826192814796152,-0.015233896770140701,0.0318682269402705,0.7648,0.5116488351164884,1.0,1.0,False,False
bright,ms1,rank_centrality_graph,50,-0.01593209856627691,-0.03287273532391029,0.00022003349601413155,0.0258,0.06409359064093591,1.0,1.0,False,False
bright,ms1_drop_mutual,bradley_terry_graph,50,-0.00024160706225212936,-0.0014144480464382103,0.0008292339225135895,0.3313,0.689031096890311,1.0,1.0,False,False
bright,ms1_drop_mutual,markov_hybrid,50,3.6058253742721204e-05,0.0,0.0001081747612281636,0.6353,1.0,1.0,1.0,False,False
bright,ms1_drop_mutual,pagerank_graph,50,0.00048322436343417043,-0.0012871511347735476,0.002765847983446271,0.6489,0.6792320767923208,1.0,1.0,False,False
bright,ms1_drop_mutual,rank_centrality_graph,50,0.0002140863843466212,-0.001237733913069931,0.0014763015482148585,0.6404,0.78002199780022,1.0,1.0,False,False
bright,ms2,bradley_terry_graph,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
bright,ms2,markov_hybrid,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
bright,ms2,pagerank_graph,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
bright,ms2,rank_centrality_graph,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
fiqa,ms1,bradley_terry_graph,120,0.010720220886984707,-0.001512707381477121,0.02431096800410265,0.9568,0.10628937106289371,1.0,1.0,False,False
fiqa,ms1,markov_hybrid,120,-0.0014151358577842701,-0.005962700296458564,0.0014080429146498328,0.3022,0.8066193380661933,1.0,1.0,False,False
fiqa,ms1,pagerank_graph,120,-0.010974638781491936,-0.02752999450869231,0.0036031087806380905,0.0754,0.1772822717728227,1.0,1.0,False,False
fiqa,ms1,rank_centrality_graph,120,-0.0051431014655316,-0.014677762334432208,0.0031589334139651183,0.1271,0.2833716628337166,1.0,1.0,False,False
fiqa,ms1_drop_mutual,bradley_terry_graph,120,4.40501691678317e-06,-0.0003073530336891436,0.00027091787769103066,0.5372,1.0,1.0,1.0,False,False
fiqa,ms1_drop_mutual,markov_hybrid,120,-0.00019061544812240723,-0.0005718463443672217,0.0,0.0,1.0,1.0,1.0,False,False
fiqa,ms1_drop_mutual,pagerank_graph,120,-0.0003392967712385444,-0.0020302247368716923,0.0008249519978222209,0.3919,1.0,1.0,1.0,False,False
fiqa,ms1_drop_mutual,rank_centrality_graph,120,-0.00023959505565573173,-0.0017400636149380853,0.0007816833923151583,0.4104,1.0,1.0,1.0,False,False
fiqa,ms2,bradley_terry_graph,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
fiqa,ms2,markov_hybrid,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
fiqa,ms2,pagerank_graph,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
fiqa,ms2,rank_centrality_graph,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms1,bradley_terry_graph,52,0.019501498673240837,-2.2656586483723613e-06,0.047063689448620404,0.9694,0.18148185181481852,1.0,1.0,False,False
hotpotqa,ms1,markov_hybrid,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms1,pagerank_graph,52,-0.0022582819157673964,-0.030215465507954637,0.0233475618059505,0.4386,0.8926107389261074,1.0,1.0,False,False
hotpotqa,ms1,rank_centrality_graph,52,0.00047028582455304637,-0.0008101497004205649,0.002146663202593512,0.7025,0.6314368563143685,1.0,1.0,False,False
hotpotqa,ms1_drop_mutual,bradley_terry_graph,52,-0.007097504739010432,-0.021292514217031298,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms1_drop_mutual,markov_hybrid,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms1_drop_mutual,pagerank_graph,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms1_drop_mutual,rank_centrality_graph,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms2,bradley_terry_graph,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms2,markov_hybrid,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms2,pagerank_graph,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
hotpotqa,ms2,rank_centrality_graph,52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
scidocs,ms1,bradley_terry_graph,120,0.00652405969478316,-0.003238744765302394,0.016605270706312705,0.9054,0.19718028197180282,1.0,1.0,False,False
scidocs,ms1,markov_hybrid,120,0.0012156496762673716,-0.0009248507126649341,0.004131265113761335,0.8235,0.4183581641835816,1.0,1.0,False,False
scidocs,ms1,pagerank_graph,120,-0.0025910414055537773,-0.01311656269113823,0.00854043109655846,0.3124,0.6575342465753424,1.0,1.0,False,False
scidocs,ms1,rank_centrality_graph,120,-0.001888014793771465,-0.00758756494360821,0.0041211346582352235,0.2529,0.5364463553644635,1.0,1.0,False,False
scidocs,ms1_drop_mutual,bradley_terry_graph,120,0.00047682389914945105,0.0,0.001136488039154813,0.9522,0.24567543245675433,1.0,1.0,False,False
scidocs,ms1_drop_mutual,markov_hybrid,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
scidocs,ms1_drop_mutual,pagerank_graph,120,0.0008468898299663255,0.0,0.002271475009321042,0.8723,0.5082491750824918,1.0,1.0,False,False
scidocs,ms1_drop_mutual,rank_centrality_graph,120,0.00013577842178280248,0.0,0.00040733526534840746,0.6276,1.0,1.0,1.0,False,False
scidocs,ms2,bradley_terry_graph,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
scidocs,ms2,markov_hybrid,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
scidocs,ms2,pagerank_graph,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
scidocs,ms2,rank_centrality_graph,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False
