axis,protocol,protocol_label,pool_id,dataset,regime,pair_name,pair_family,n_queries,no_cycle,cycle_but_repair_inactive,repair_inactive_on_ranking,ranking_changed_metric_stable,metric_changed,no_cycle_fraction,cycle_but_repair_inactive_fraction,repair_inactive_on_ranking_fraction,ranking_changed_metric_stable_fraction,metric_changed_fraction
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms2,copeland_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms2,balance_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms2,markov_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms2,copeland_hybrid,hybrid,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms2,balance_hybrid,hybrid,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1,copeland_graph,graph,120,3,0,1,60,56,0.025,0.0,0.008333333333333333,0.5,0.4666666666666667
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1,balance_graph,graph,120,3,0,100,15,2,0.025,0.0,0.8333333333333334,0.125,0.016666666666666666
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1,markov_graph,graph,120,3,0,64,45,8,0.025,0.0,0.5333333333333333,0.375,0.06666666666666667
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1,copeland_hybrid,hybrid,120,3,0,6,81,30,0.025,0.0,0.05,0.675,0.25
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1,balance_hybrid,hybrid,120,3,0,109,6,2,0.025,0.0,0.9083333333333333,0.05,0.016666666666666666
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1_drop_mutual,copeland_graph,graph,120,108,0,2,10,0,0.9,0.0,0.016666666666666666,0.08333333333333333,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1_drop_mutual,balance_graph,graph,120,108,0,11,1,0,0.9,0.0,0.09166666666666666,0.008333333333333333,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1_drop_mutual,markov_graph,graph,120,108,0,9,2,1,0.9,0.0,0.075,0.016666666666666666,0.008333333333333333
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1_drop_mutual,copeland_hybrid,hybrid,120,108,0,7,5,0,0.9,0.0,0.058333333333333334,0.041666666666666664,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,scidocs,ms1_drop_mutual,balance_hybrid,hybrid,120,108,0,12,0,0,0.9,0.0,0.1,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms2,copeland_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms2,balance_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms2,markov_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms2,copeland_hybrid,hybrid,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms2,balance_hybrid,hybrid,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1,copeland_graph,graph,120,2,0,6,79,33,0.016666666666666666,0.0,0.05,0.6583333333333333,0.275
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1,balance_graph,graph,120,2,0,82,33,3,0.016666666666666666,0.0,0.6833333333333333,0.275,0.025
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1,markov_graph,graph,120,2,0,58,53,7,0.016666666666666666,0.0,0.48333333333333334,0.44166666666666665,0.058333333333333334
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1,copeland_hybrid,hybrid,120,2,0,7,89,22,0.016666666666666666,0.0,0.058333333333333334,0.7416666666666667,0.18333333333333332
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1,balance_hybrid,hybrid,120,2,0,110,8,0,0.016666666666666666,0.0,0.9166666666666666,0.06666666666666667,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1_drop_mutual,copeland_graph,graph,120,93,0,5,21,1,0.775,0.0,0.041666666666666664,0.175,0.008333333333333333
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1_drop_mutual,balance_graph,graph,120,93,0,22,5,0,0.775,0.0,0.18333333333333332,0.041666666666666664,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1_drop_mutual,markov_graph,graph,120,93,0,26,1,0,0.775,0.0,0.21666666666666667,0.008333333333333333,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1_drop_mutual,copeland_hybrid,hybrid,120,93,0,10,14,3,0.775,0.0,0.08333333333333333,0.11666666666666667,0.025
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,fiqa,ms1_drop_mutual,balance_hybrid,hybrid,120,93,0,27,0,0,0.775,0.0,0.225,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms2,copeland_graph,graph,52,52,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms2,balance_graph,graph,52,52,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms2,markov_graph,graph,52,52,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms2,copeland_hybrid,hybrid,52,52,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms2,balance_hybrid,hybrid,52,52,0,0,0,0,1.0,0.0,0.0,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1,copeland_graph,graph,52,15,0,7,20,10,0.28846153846153844,0.0,0.1346153846153846,0.38461538461538464,0.19230769230769232
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1,balance_graph,graph,52,15,0,36,1,0,0.28846153846153844,0.0,0.6923076923076923,0.019230769230769232,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1,markov_graph,graph,52,15,0,29,6,2,0.28846153846153844,0.0,0.5576923076923077,0.11538461538461539,0.038461538461538464
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1,copeland_hybrid,hybrid,52,15,0,10,20,7,0.28846153846153844,0.0,0.19230769230769232,0.38461538461538464,0.1346153846153846
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1,balance_hybrid,hybrid,52,15,0,37,0,0,0.28846153846153844,0.0,0.7115384615384616,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1_drop_mutual,copeland_graph,graph,52,51,0,0,1,0,0.9807692307692307,0.0,0.0,0.019230769230769232,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1_drop_mutual,balance_graph,graph,52,51,0,1,0,0,0.9807692307692307,0.0,0.019230769230769232,0.0,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1_drop_mutual,markov_graph,graph,52,51,0,0,1,0,0.9807692307692307,0.0,0.0,0.019230769230769232,0.0
protocol,ablation_raw_fixed,raw + fixed,rrf_union_topk,hotpotqa,ms1_drop_mutual,copeland_hybrid,hybrid,52,51,0,0,1,0,0.9807692307692307,0.0,0.0,0.019230769230769232,0.0
