axis,protocol,protocol_label,pool_id,dataset,regime,pair_name,pair_family,n_queries,no_cycle,cycle_but_repair_inactive,repair_inactive_on_ranking,ranking_changed_metric_stable,metric_changed,no_cycle_fraction,cycle_but_repair_inactive_fraction,repair_inactive_on_ranking_fraction,ranking_changed_metric_stable_fraction,metric_changed_fraction
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms2,copeland_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms2,balance_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms2,markov_graph,graph,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms2,copeland_hybrid,hybrid,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms2,balance_hybrid,hybrid,120,120,0,0,0,0,1.0,0.0,0.0,0.0,0.0
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms1,copeland_graph,graph,120,1,0,0,61,58,0.008333333333333333,0.0,0.0,0.5083333333333333,0.48333333333333334
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms1,balance_graph,graph,120,1,0,17,72,30,0.008333333333333333,0.0,0.14166666666666666,0.6,0.25
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms1,markov_graph,graph,120,1,0,2,80,37,0.008333333333333333,0.0,0.016666666666666666,0.6666666666666666,0.30833333333333335
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms1,copeland_hybrid,hybrid,120,1,0,5,74,40,0.008333333333333333,0.0,0.041666666666666664,0.6166666666666667,0.3333333333333333
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms1,balance_hybrid,hybrid,120,1,0,51,60,8,0.008333333333333333,0.0,0.425,0.5,0.06666666666666667
pool,primary_minmax_retention_matched,minmax + retention-matched,rrf_union_topk,scidocs,ms1_drop_mutual,copeland_graph,graph,120,106,0,0,13,1,0.8833333333333333,0.0,0.0,0.10833333333333334,0.008333333333333333
