dataset,regime,pool_id,compared_against,n_common_queries,mean_pool_jaccard,median_pool_jaccard
scidocs,ms2,equal_depth_union,rrf_union_topk,120,0.46622880072774336,0.4473684210526316
scidocs,ms2,neutral_round_robin_union,rrf_union_topk,120,0.528935867633394,0.5384615384615384
scidocs,ms2,bm25_only,rrf_union_topk,120,0.5881389645893684,0.6
scidocs,ms2,combsum_union_topk,rrf_union_topk,120,0.661671687859219,0.6666666666666666
scidocs,ms1,equal_depth_union,rrf_union_topk,120,0.46622880072774336,0.4473684210526316
scidocs,ms1,neutral_round_robin_union,rrf_union_topk,120,0.528935867633394,0.5384615384615384
scidocs,ms1,bm25_only,rrf_union_topk,120,0.5881389645893684,0.6
scidocs,ms1,combsum_union_topk,rrf_union_topk,120,0.661671687859219,0.6666666666666666
scidocs,ms1_drop_mutual,equal_depth_union,rrf_union_topk,120,0.46622880072774336,0.4473684210526316
scidocs,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,120,0.528935867633394,0.5384615384615384
scidocs,ms1_drop_mutual,bm25_only,rrf_union_topk,120,0.5881389645893684,0.6
scidocs,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,120,0.661671687859219,0.6666666666666666
fiqa,ms2,equal_depth_union,rrf_union_topk,120,0.4133333256186106,0.40816326530612246
fiqa,ms2,neutral_round_robin_union,rrf_union_topk,120,0.47056808647364173,0.48148148148148145
fiqa,ms2,bm25_only,rrf_union_topk,120,0.5540185980446495,0.5384615384615384
fiqa,ms2,combsum_union_topk,rrf_union_topk,120,0.6227763330235884,0.6666666666666666
fiqa,ms1,equal_depth_union,rrf_union_topk,120,0.4133333256186106,0.40816326530612246
fiqa,ms1,neutral_round_robin_union,rrf_union_topk,120,0.47056808647364173,0.48148148148148145
fiqa,ms1,bm25_only,rrf_union_topk,120,0.5540185980446495,0.5384615384615384
fiqa,ms1,combsum_union_topk,rrf_union_topk,120,0.6227763330235884,0.6666666666666666
fiqa,ms1_drop_mutual,equal_depth_union,rrf_union_topk,120,0.4133333256186106,0.40816326530612246
fiqa,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,120,0.47056808647364173,0.48148148148148145
fiqa,ms1_drop_mutual,bm25_only,rrf_union_topk,120,0.5540185980446495,0.5384615384615384
fiqa,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,120,0.6227763330235884,0.6666666666666666
hotpotqa,ms2,equal_depth_union,rrf_union_topk,52,0.508767851244955,0.5
hotpotqa,ms2,neutral_round_robin_union,rrf_union_topk,52,0.5769531185255168,0.5384615384615384
hotpotqa,ms2,bm25_only,rrf_union_topk,52,0.6102979787934539,0.6666666666666666
hotpotqa,ms2,combsum_union_topk,rrf_union_topk,52,0.6959174874898858,0.6666666666666666
hotpotqa,ms1,equal_depth_union,rrf_union_topk,52,0.508767851244955,0.5
hotpotqa,ms1,neutral_round_robin_union,rrf_union_topk,52,0.5769531185255168,0.5384615384615384
hotpotqa,ms1,bm25_only,rrf_union_topk,52,0.6102979787934539,0.6666666666666666
hotpotqa,ms1,combsum_union_topk,rrf_union_topk,52,0.6959174874898858,0.6666666666666666
hotpotqa,ms1_drop_mutual,equal_depth_union,rrf_union_topk,52,0.508767851244955,0.5
hotpotqa,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,52,0.5769531185255168,0.5384615384615384
hotpotqa,ms1_drop_mutual,bm25_only,rrf_union_topk,52,0.6102979787934539,0.6666666666666666
hotpotqa,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,52,0.6959174874898858,0.6666666666666666
bright,ms2,equal_depth_union,rrf_union_topk,50,0.36496317999454625,0.3584905660377358
bright,ms2,neutral_round_robin_union,rrf_union_topk,50,0.5068623439400148,0.48148148148148145
bright,ms2,bm25_only,rrf_union_topk,50,0.3747958223722201,0.3333333333333333
bright,ms2,combsum_union_topk,rrf_union_topk,50,0.5784204110334593,0.6
bright,ms1,equal_depth_union,rrf_union_topk,50,0.36496317999454625,0.3584905660377358
bright,ms1,neutral_round_robin_union,rrf_union_topk,50,0.5068623439400148,0.48148148148148145
bright,ms1,bm25_only,rrf_union_topk,50,0.3747958223722201,0.3333333333333333
bright,ms1,combsum_union_topk,rrf_union_topk,50,0.5784204110334593,0.6
bright,ms1_drop_mutual,equal_depth_union,rrf_union_topk,50,0.36496317999454625,0.3584905660377358
bright,ms1_drop_mutual,neutral_round_robin_union,rrf_union_topk,50,0.5068623439400148,0.48148148148148145
bright,ms1_drop_mutual,bm25_only,rrf_union_topk,50,0.3747958223722201,0.3333333333333333
bright,ms1_drop_mutual,combsum_union_topk,rrf_union_topk,50,0.5784204110334593,0.6
