stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,5.7e-05,5.7e-05,5.7e-05,5.7e-05
pairwise_preference_generation,1,0.000262,0.000262,0.000262,0.000262
graph_construction,1,0.002216,0.002216,0.002216,0.002216
cycle_detection,1,0.000176,0.000176,0.000176,0.000176
ranking_score_sum,1,9.4e-05,9.4e-05,9.4e-05,9.4e-05
ranking_borda,1,3.3e-05,3.3e-05,3.3e-05,3.3e-05
greedy_fas_solver,1,0.00889,0.00889,0.00889,0.00889
ranking_topological,1,0.000115,0.000115,0.000115,0.000115
evaluation,1,0.00028,0.00028,0.00028,0.00028
total_experiment,1,0.012244,0.012244,0.012244,0.012244
