file,location_in_file,old_path_referenced,new_path,notes
papers/JDIQ_2026/scripts/build_master_inventory.py,line 107 (ijcs_manuscript_zip location string),Consistency_Aware_Reranking_..._IJCS.zip (repo root),papers/_archive/IJCS_early_draft.zip,static string in a data dict; never executed/opened by the script; low risk
papers/JDIQ_2026/scripts/build_master_inventory.py,line 113 (MANUSCRIPT_SUMMARY_root location string),MANUSCRIPT_SUMMARY.md (repo root),docs/historical/MANUSCRIPT_SUMMARY.md,static string; never opened
papers/JDIQ_2026/scripts/build_master_inventory.py,line 116 (PAPER_DRAFT_WORDING location string),PAPER_DRAFT_WORDING.md (repo root),docs/historical/PAPER_DRAFT_WORDING.md,static string; never opened
papers/JDIQ_2026/scripts/build_master_inventory.py,line 140 (repo_publication_audit location string),reports/repo_publication_audit.md,reports/_archive/publication_audit_20260406/repo_publication_audit.md,static string; never opened
papers/JDIQ_2026/scripts/build_master_inventory.py,line 143 (claim_support_matrix location string),reports/claim_support_matrix.csv,reports/_archive/publication_audit_20260406/claim_support_matrix.csv,static string; never opened
experiments/method_improvement_audit_20260711_205733/run_method_improvement_audit.py,"phase0_baseline(), 3 lines","reports/repo_publication_audit.md, reports/canonical_results_inventory.csv, reports/claim_support_matrix.csv","reports/_archive/publication_audit_20260406/{repo_publication_audit.md,canonical_results_inventory.csv,claim_support_matrix.csv}","LIVE reference -- this script actually opens/reads these files with .read_text()/csv.DictReader(...open()); would have raised FileNotFoundError (caught by the outer per-phase try/except, so would not crash the whole script, but phase0_baseline would silently fail) if left unfixed. Repaired."
README.md,repo-tree diagram (2 lines),reports/repo_publication_audit.md; TODO.md,reports/_archive/publication_audit_20260406/; docs/historical/TODO.md,"documentation, not executable"
README.md,Documentation Index table row (1 line),reports/repo_publication_audit.md,reports/_archive/publication_audit_20260406/repo_publication_audit.md,documentation
docs/READ_ME_FIRST_FOR_AI.md,item 6 (1 line),../reports/repo_publication_audit.md,../reports/_archive/publication_audit_20260406/repo_publication_audit.md,documentation
docs/EXPERIMENTS.md,'Pinned evidence' line,reports/repo_publication_audit.md,reports/_archive/publication_audit_20260406/repo_publication_audit.md,documentation; also reworded the outputs/pub_vote_cmp_all4 description to 'historical' for consistency with Stage 1
reports/README.md,Historical publication-audit table (6 rows),"repo_publication_audit.md, repo_cleanup_recommendations.md, paper_safe_contributions.md, canonical_results_inventory.csv, claim_support_matrix.csv, repaired_vs_unrepaired_master_table.csv (all relative to reports/)",_archive/publication_audit_20260406/<same filenames> (relative to reports/),documentation; verified all 6 links resolve post-move
