original_source_path,current_destination_path,rollback_command
0706C337-D693-4E53-A51D-87B7D8AD0FA5.png,docs/assets/legacy_screenshots/0706C337-D693-4E53-A51D-87B7D8AD0FA5.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/0706C337-D693-4E53-A51D-87B7D8AD0FA5.png' '0706C337-D693-4E53-A51D-87B7D8AD0FA5.png'
74556F5F-D495-41DF-9EDE-203C4CD1008A.png,docs/assets/legacy_screenshots/74556F5F-D495-41DF-9EDE-203C4CD1008A.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/74556F5F-D495-41DF-9EDE-203C4CD1008A.png' '74556F5F-D495-41DF-9EDE-203C4CD1008A.png'
CD2E2086-A0D6-46EC-BD96-2B6F2CF1A432.png,docs/assets/legacy_screenshots/CD2E2086-A0D6-46EC-BD96-2B6F2CF1A432.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/CD2E2086-A0D6-46EC-BD96-2B6F2CF1A432.png' 'CD2E2086-A0D6-46EC-BD96-2B6F2CF1A432.png'
FC0356B8-3DD3-4014-8903-4368933D867D.png,docs/assets/legacy_screenshots/FC0356B8-3DD3-4014-8903-4368933D867D.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/FC0356B8-3DD3-4014-8903-4368933D867D.png' 'FC0356B8-3DD3-4014-8903-4368933D867D.png'
IMG_5259.png,docs/assets/legacy_screenshots/IMG_5259.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/IMG_5259.png' 'IMG_5259.png'
IMG_5260.png,docs/assets/legacy_screenshots/IMG_5260.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/IMG_5260.png' 'IMG_5260.png'
IMG_5261.png,docs/assets/legacy_screenshots/IMG_5261.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/IMG_5261.png' 'IMG_5261.png'
IMG_5265.png,docs/assets/legacy_screenshots/IMG_5265.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/IMG_5265.png' 'IMG_5265.png'
IMG_5268.png,docs/assets/legacy_screenshots/IMG_5268.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/IMG_5268.png' 'IMG_5268.png'
IMG_5280.png,docs/assets/legacy_screenshots/IMG_5280.png,git mv (history preserved) -- rollback: git mv 'docs/assets/legacy_screenshots/IMG_5280.png' 'IMG_5280.png'
AUDIT_LOCAL_BRANCH.md,docs/historical/AUDIT_LOCAL_BRANCH.md,git mv (history preserved) -- rollback: git mv 'docs/historical/AUDIT_LOCAL_BRANCH.md' 'AUDIT_LOCAL_BRANCH.md'
EXPANDED_SELECTIVE_REPORT.md,docs/historical/EXPANDED_SELECTIVE_REPORT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/EXPANDED_SELECTIVE_REPORT.md' 'EXPANDED_SELECTIVE_REPORT.md'
FAS_NICHE_REPORT.md,docs/historical/FAS_NICHE_REPORT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/FAS_NICHE_REPORT.md' 'FAS_NICHE_REPORT.md'
MANUSCRIPT_SUMMARY.md,docs/historical/MANUSCRIPT_SUMMARY.md,git mv (history preserved) -- rollback: git mv 'docs/historical/MANUSCRIPT_SUMMARY.md' 'MANUSCRIPT_SUMMARY.md'
MULTI_SCORER_EXPERIMENT_REPORT.md,docs/historical/MULTI_SCORER_EXPERIMENT_REPORT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/MULTI_SCORER_EXPERIMENT_REPORT.md' 'MULTI_SCORER_EXPERIMENT_REPORT.md'
MULTI_SCORER_SUMMARY.md,docs/historical/MULTI_SCORER_SUMMARY.md,git mv (history preserved) -- rollback: git mv 'docs/historical/MULTI_SCORER_SUMMARY.md' 'MULTI_SCORER_SUMMARY.md'
PAPER_DRAFT_WORDING.md,docs/historical/PAPER_DRAFT_WORDING.md,git mv (history preserved) -- rollback: git mv 'docs/historical/PAPER_DRAFT_WORDING.md' 'PAPER_DRAFT_WORDING.md'
PAPER_OUTLINE.md,docs/historical/PAPER_OUTLINE.md,git mv (history preserved) -- rollback: git mv 'docs/historical/PAPER_OUTLINE.md' 'PAPER_OUTLINE.md'
PAPER_READY_REPORT.md,docs/historical/PAPER_READY_REPORT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/PAPER_READY_REPORT.md' 'PAPER_READY_REPORT.md'
REAL_SCORER_EXPERIMENT_REPORT.md,docs/historical/REAL_SCORER_EXPERIMENT_REPORT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/REAL_SCORER_EXPERIMENT_REPORT.md' 'REAL_SCORER_EXPERIMENT_REPORT.md'
REASONING_BENCHMARK_FEASIBILITY.md,docs/historical/REASONING_BENCHMARK_FEASIBILITY.md,git mv (history preserved) -- rollback: git mv 'docs/historical/REASONING_BENCHMARK_FEASIBILITY.md' 'REASONING_BENCHMARK_FEASIBILITY.md'
REMEDIATION_REPORT.md,docs/historical/REMEDIATION_REPORT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/REMEDIATION_REPORT.md' 'REMEDIATION_REPORT.md'
REVIEWER_CONCERN_GAP_AUDIT.md,docs/historical/REVIEWER_CONCERN_GAP_AUDIT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/REVIEWER_CONCERN_GAP_AUDIT.md' 'REVIEWER_CONCERN_GAP_AUDIT.md'
TODO.md,docs/historical/TODO.md,git mv (history preserved) -- rollback: git mv 'docs/historical/TODO.md' 'TODO.md'
VALIDATION_REPORT.md,docs/historical/VALIDATION_REPORT.md,git mv (history preserved) -- rollback: git mv 'docs/historical/VALIDATION_REPORT.md' 'VALIDATION_REPORT.md'
failure_taxonomy_distribution_uniform.pdf,figures/legacy/failure_taxonomy_distribution_uniform.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/failure_taxonomy_distribution_uniform.pdf' 'failure_taxonomy_distribution_uniform.pdf'
fig_mean_ndcg_hybrids_clean.pdf,figures/legacy/fig_mean_ndcg_hybrids_clean.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/fig_mean_ndcg_hybrids_clean.pdf' 'fig_mean_ndcg_hybrids_clean.pdf'
figure1_preference_graph_pipeline.pdf,figures/legacy/figure1_preference_graph_pipeline.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/figure1_preference_graph_pipeline.pdf' 'figure1_preference_graph_pipeline.pdf'
figure2_graph_inconsistency_by_regime.pdf,figures/legacy/figure2_graph_inconsistency_by_regime.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/figure2_graph_inconsistency_by_regime.pdf' 'figure2_graph_inconsistency_by_regime.pdf'
figure3_structural_quality_improvement_ms1.pdf,figures/legacy/figure3_structural_quality_improvement_ms1.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/figure3_structural_quality_improvement_ms1.pdf' 'figure3_structural_quality_improvement_ms1.pdf'
figure4_repair_effect_forest_final.pdf,figures/legacy/figure4_repair_effect_forest_final.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/figure4_repair_effect_forest_final.pdf' 'figure4_repair_effect_forest_final.pdf'
figure5_dataset_comparison.pdf,figures/legacy/figure5_dataset_comparison.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/figure5_dataset_comparison.pdf' 'figure5_dataset_comparison.pdf'
figure6_failure_taxonomy.pdf,figures/legacy/figure6_failure_taxonomy.pdf,git mv (history preserved) -- rollback: git mv 'figures/legacy/figure6_failure_taxonomy.pdf' 'figure6_failure_taxonomy.pdf'
Consistency_Aware_Reranking_via_Preference_Graph_Repair__Structural_Gains_and_Conditional_Retrieval_Effects_IJCS.zip,papers/_archive/IJCS_early_draft.zip,git mv (history preserved) -- rollback: git mv 'papers/_archive/IJCS_early_draft.zip' 'Consistency_Aware_Reranking_via_Preference_Graph_Repair__Structural_Gains_and_Conditional_Retrieval_Effects_IJCS.zip'
reports/jdiq-overnight-20260713-225928/OVERNIGHT_REPORT.md,reports/_archive/jdiq-overnight-20260713-225928/OVERNIGHT_REPORT.md,git mv (history preserved) -- rollback: git mv 'reports/_archive/jdiq-overnight-20260713-225928/OVERNIGHT_REPORT.md' 'reports/jdiq-overnight-20260713-225928/OVERNIGHT_REPORT.md'
reports/jdiq-overnight-20260713-225928/artifact_prep/ARTIFACT_MANIFEST.json,reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/ARTIFACT_MANIFEST.json,git mv (history preserved) -- rollback: git mv 'reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/ARTIFACT_MANIFEST.json' 'reports/jdiq-overnight-20260713-225928/artifact_prep/ARTIFACT_MANIFEST.json'
reports/jdiq-overnight-20260713-225928/artifact_prep/IDENTITY_LEAK_SCAN.txt,reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/IDENTITY_LEAK_SCAN.txt,git mv (history preserved) -- rollback: git mv 'reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/IDENTITY_LEAK_SCAN.txt' 'reports/jdiq-overnight-20260713-225928/artifact_prep/IDENTITY_LEAK_SCAN.txt'
reports/jdiq-overnight-20260713-225928/artifact_prep/UPLOAD_INSTRUCTIONS.md,reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/UPLOAD_INSTRUCTIONS.md,git mv (history preserved) -- rollback: git mv 'reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/UPLOAD_INSTRUCTIONS.md' 'reports/jdiq-overnight-20260713-225928/artifact_prep/UPLOAD_INSTRUCTIONS.md'
reports/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.tar.gz,reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.tar.gz,git mv (history preserved) -- rollback: git mv 'reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.tar.gz' 'reports/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.tar.gz'
reports/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.zip,reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.zip,git mv (history preserved) -- rollback: git mv 'reports/_archive/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.zip' 'reports/jdiq-overnight-20260713-225928/artifact_prep/anonymous_review_bundle/anonymous_review_artifact.zip'
