source_path,destination_path,git_operation,reference_repair_summary
papers/papers/,(deleted),git rm equivalent (mv+rm; was untracked/empty),"zero files, untracked, unreferenced -- confirmed by `find` and repo-wide grep before deletion"
0706C337-D693-4E53-A51D-87B7D8AD0FA5.png (and 9 sibling images),docs/assets/legacy_screenshots/*,git mv,zero inbound references confirmed via repo-wide grep for each basename
failure_taxonomy_distribution_uniform.pdf (and 7 sibling PDFs),figures/legacy/*,git mv,zero inbound references confirmed via repo-wide grep for each basename in *.tex
Consistency_Aware_Reranking_..._IJCS.zip,papers/_archive/IJCS_early_draft.zip,git mv + rename,"1 reference found and repaired (papers/JDIQ_2026/scripts/build_master_inventory.py:107, a static string in a stale-labeled inventory generator)"
AUDIT_LOCAL_BRANCH.md (and 14 sibling root .md docs),docs/historical/*,git mv (15 files),Per-file reference check performed for all 15; all cross-references are narrative/historical or between files moving together in this same batch; 2 live-script references repaired (build_master_inventory.py MANUSCRIPT_SUMMARY_root + PAPER_DRAFT_WORDING entries); README.md tree diagram updated
reports/repo_publication_audit.md (and 5 sibling files),reports/_archive/publication_audit_20260406/*,git mv (6 files),"reports/README.md links updated (6 links); 3 live-script references repaired (build_master_inventory.py x2 + experiments/method_improvement_audit_20260711_205733/run_method_improvement_audit.py x3); README.md, docs/READ_ME_FIRST_FOR_AI.md updated (1 link each)"
reports/exact_ilp_repair_investigation/,reports/_archive/exact_ilp_repair_investigation_SUPERSEDED/,"plain mv (was untracked, no git history to preserve)",Verified zero active references before moving (see duplicate_directory_resolution.md Sec.1)
reports/jdiq-overnight-20260713-225928/,reports/_archive/jdiq-overnight-20260713-225928/,git mv (86 files),"6 historical/narrative references found, confirmed non-functional, left unedited (see duplicate_directory_resolution.md Sec.2)"
reports/jdiq-overnight-cont-20260713-230229/,reports/_archive/jdiq-overnight-cont-20260713-230229/,git mv (166 files),Same as above
"outputs/pub_vote_cmp_all4/, outputs/pub_vote_cmp_v2/, outputs/q1_journal_package/",(unchanged -- in-place HISTORICAL.md added instead),"additive only, no move",4 scripts/tests still default to these exact paths; moving would break documented reproduction defaults
