stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,0.000138,0.000138,0.000138,0.000138
pairwise_preference_generation,1,0.000799,0.000799,0.000799,0.000799
graph_construction,1,0.003783,0.003783,0.003783,0.003783
cycle_detection,1,0.000183,0.000183,0.000183,0.000183
ranking_score_sum,1,0.000111,0.000111,0.000111,0.000111
ranking_borda,1,4.1e-05,4.1e-05,4.1e-05,4.1e-05
greedy_fas_solver,1,0.012325,0.012325,0.012325,0.012325
ranking_topological,1,0.000219,0.000219,0.000219,0.000219
ranking_priority_topological_score_sum,1,0.000156,0.000156,0.000156,0.000156
ranking_fas_weighted_balance,1,8.9e-05,8.9e-05,8.9e-05,8.9e-05
ranking_fas_copeland,1,6.2e-05,6.2e-05,6.2e-05,6.2e-05
ranking_hybrid_rrf_fas_regularized,1,0.000149,0.000149,0.000149,0.000149
evaluation,1,0.000688,0.000688,0.000688,0.000688
total_experiment,1,0.019291,0.019291,0.019291,0.019291
