stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,5.8e-05,5.8e-05,5.8e-05,5.8e-05
pairwise_preference_generation,1,0.000279,0.000279,0.000279,0.000279
graph_construction,1,0.002256,0.002256,0.002256,0.002256
cycle_detection,1,0.000185,0.000185,0.000185,0.000185
ranking_score_sum,1,9.4e-05,9.4e-05,9.4e-05,9.4e-05
ranking_borda,1,3.1e-05,3.1e-05,3.1e-05,3.1e-05
greedy_fas_solver,1,0.010491,0.010491,0.010491,0.010491
ranking_topological,1,0.000139,0.000139,0.000139,0.000139
evaluation,1,0.000342,0.000342,0.000342,0.000342
total_experiment,1,0.013999,0.013999,0.013999,0.013999
