dataset,query_id,method,preference_source,n_candidates,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
fiqa,837,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,3166,cross_encoder,cross_encoder,8,1.0,1.0,1.0,1.0,,
fiqa,1972,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
fiqa,4810,cross_encoder,cross_encoder,6,1.0,1.0,1.0,1.0,,
fiqa,3220,cross_encoder,cross_encoder,12,1.0,1.0,1.0,1.0,,
fiqa,1044,cross_encoder,cross_encoder,3,1.0,1.0,1.0,1.0,,
fiqa,7027,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
fiqa,1446,cross_encoder,cross_encoder,3,1.0,1.0,1.0,1.0,,
fiqa,6618,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,3028,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,10142,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,854,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
fiqa,2751,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,10922,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,5461,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,444,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
fiqa,7791,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,6078,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,7692,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,10818,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,7625,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,2516,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
fiqa,4977,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,9341,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,5574,cross_encoder,cross_encoder,7,1.0,1.0,1.0,1.0,,
fiqa,1648,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
fiqa,8543,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
fiqa,6301,cross_encoder,cross_encoder,4,1.0,1.0,1.0,1.0,,
fiqa,6177,cross_encoder,cross_encoder,3,1.0,1.0,1.0,1.0,,
fiqa,837,llm_pointwise_mock,llm_pointwise,2,1.0,1.0,1.0,1.0,,
fiqa,3166,llm_pointwise_mock,llm_pointwise,8,1.0,1.0,1.0,1.0,,
fiqa,1972,llm_pointwise_mock,llm_pointwise,4,1.0,1.0,1.0,1.0,,
fiqa,4810,llm_pointwise_mock,llm_pointwise,6,1.0,1.0,1.0,1.0,,
fiqa,3220,llm_pointwise_mock,llm_pointwise,12,1.0,1.0,1.0,1.0,,
fiqa,1044,llm_pointwise_mock,llm_pointwise,3,1.0,1.0,1.0,1.0,,
fiqa,7027,llm_pointwise_mock,llm_pointwise,4,1.0,1.0,1.0,1.0,,
fiqa,1446,llm_pointwise_mock,llm_pointwise,3,1.0,1.0,1.0,1.0,,
fiqa,6618,llm_pointwise_mock,llm_pointwise,2,1.0,1.0,1.0,1.0,,
