path,change_type,reason
.gitignore,"content edit (carried forward, re-verified)",Surgical carve-out for reports/final_revision_task1_pool_cutoff_20260715/ and .../task4_exact_baseline_fairness_20260715/; re-verified intact via git check-ignore -v this stage
PROJECT_STATUS.md,"content edit (carried forward, re-verified)",Corrected canonical-evidence bullet; added documentation-authority-map row pointing at EVIDENCE_PROVENANCE_20260730.md; demoted the stale evidence-inventory CSVs row
README.md,"content edit (carried forward, re-verified)","'Key Finding'/Documentation Index/repo-tree/Current-Status now distinguish current classical-study canonical evidence, real-LLM exploratory evidence, and the historical pub_vote_cmp_* package"
docs/READ_ME_FIRST_FOR_AI.md,"content edit (carried forward, re-verified)",'Fast orientation' steps rewritten to name all evidence tiers explicitly
reports/README.md,"content edit (carried forward, re-verified)",Added historical banner + 'start here' pointer to PROJECT_STATUS.md and the current IR evidence audit/meta-audit
papers/JDIQ_2026/README.md,"content edit (carried forward, re-verified)",Marked MASTER_EVIDENCE_INVENTORY.csv/SECTION_EVIDENCE_MAP.csv file-index rows STALE with a pointer to EVIDENCE_PROVENANCE_20260730.md
papers/JDIQ_2026/manuscript/main.tex,REVERTED this stage,"Restored to HEAD via git restore --staged --worktree, removing the prior attempt's \input{generated_macros} and 6 macro substitutions -- confirmed zero diff vs HEAD"
src/consistency_ranker/statistical_inference.py,"content edit (carried forward, re-verified)",Added is_significant_pvalue() and parse_numeric_threshold(); no existing function modified; full suite re-run this stage (1237 passed)
papers/JDIQ_2026/EVIDENCE_PROVENANCE_20260730.md,"new file (carried forward, re-verified)",Current evidence-to-claim mapping superseding the two stale CSVs for lookups
papers/JDIQ_2026/manuscript/generated_macros.tex,REMOVED this stage,Manuscript LaTeX macro output; explicitly excluded by this stage's corrected scope; deleted and unstaged (never existed at HEAD)
scripts/generate_manuscript_macros.py,REMOVED this stage,Manuscript-macro generator; explicitly excluded by this stage's corrected scope; deleted and unstaged
scripts/check_manuscript_macro_drift.py,REMOVED this stage,Manuscript-macro drift checker; explicitly excluded by this stage's corrected scope; deleted and unstaged
tests/test_manuscript_macro_drift.py,REMOVED this stage,pytest wrapper for the drift checker; explicitly excluded by this stage's corrected scope; deleted and unstaged
tests/test_holm_pvalue_boolean_regression.py,"new file (carried forward, re-verified)",15 regression tests for the holm_active_ms1_family boolean-vs-float-pvalue bug
tests/test_numeric_threshold_parsing_regression.py,"new file (carried forward, re-verified)",20 regression tests for the .holm_significant_at_0.05 attribute-parsing bug and general numeric-threshold parsing
reports/final_revision_task1_pool_cutoff_20260715/* (59 files total across both final_revision_* dirs),"newly tracked (carried forward, re-verified)",Un-gitignored via the .gitignore carve-out; re-confirmed still tracked and audit-reproducible this stage
reports/repo_cleanup_stage1_20260730T004010Z/canonical_reference_changes.csv,formatting fix this stage (content unchanged),Regenerated via csv.writer to fix unescaped-comma ragged rows discovered this stage; row content identical to the original
reports/repo_cleanup_stage1_20260730T004010Z/gitignore_exception_manifest.csv,formatting fix this stage (content unchanged),Same ragged-row fix as above
reports/repo_hygiene_audit_20260729T235053Z/proposed_moves.csv,formatting fix this stage (content unchanged),"Same ragged-row fix, applied to the original hygiene audit's deliverable for overall repository CSV correctness"
reports/repo_preparation_stage1_20260730T011354Z/*,new files this stage,This stage's own 12 deliverables
src/consistency_ranker/baseline_ranking.py,NOT MODIFIED BY ANY STAGE,Pre-existing uncommitted change from earlier in this session (HodgeRank scorer); left exactly as found throughout
