file,edit_status,evidence_category_now_labeled,rationale
README.md,"edited (this stage's baseline, from the prior Stage-1 attempt; content re-verified unaffected by the manuscript-macro revert)","historical experiment package (outputs/pub_vote_cmp_all4/v2, outputs/q1_journal_package) + current classical-study canonical evidence (reports/full_calibrated_core/) + real-LLM exploratory evidence","'Key Finding' paragraph, Documentation Index table, repo-tree diagram, and Current-Status row now explicitly distinguish the three categories; the real-LLM exploratory row states the 6-underlying-query caveat inline, not only in the meta-audit"
docs/READ_ME_FIRST_FOR_AI.md,edited (carried forward),historical experiment package + current classical-study canonical evidence + real-LLM exploratory evidence + IR evidence audit + meta-audit,'Fast orientation' step 2 now lists all three evidence tiers by name and path; step 6 now points at the current IR evidence audit and meta-audit ahead of the historical publication audit
reports/README.md,edited (carried forward),historical experiment package + IR evidence audit + meta-audit,"Added an explicit historical banner above the pub_vote_cmp-era document table; added a 'start here' pointer to PROJECT_STATUS.md, the current IR evidence audit, and the meta-audit"
PROJECT_STATUS.md,edited (carried forward),current classical-study canonical evidence + pending clustered real-LLM re-analysis (via the pointer to EVIDENCE_PROVENANCE_20260730.md),"Corrected the 'canonical, committed evidence' bullet from outputs/pub_vote_cmp_all4/ to reports/full_calibrated_core/...; added a documentation-authority-map row pointing evidence-to-claim mapping at the new EVIDENCE_PROVENANCE_20260730.md, which in turn documents the pending re-analysis explicitly (see canonical_evidence_inventory.csv row IR-PENDING-01)"
papers/JDIQ_2026/README.md,edited (carried forward; narrow),historical experiment package (MASTER_EVIDENCE_INVENTORY.csv/SECTION_EVIDENCE_MAP.csv marked stale),"Only the two file-index rows for the stale evidence-inventory CSVs were marked STALE with a pointer to EVIDENCE_PROVENANCE_20260730.md; the file's own pre-existing SUPERSEDED banner (unedited, already correct) covers the rest of the file"
papers/JDIQ_2026/README.md ('Canonical evidence sources' section referencing outputs/pub_vote_cmp_all4/),"reviewed, left unedited",historical experiment package (already covered by an existing banner),This file already carries a top-of-file SUPERSEDED (2026-07-14) banner directing readers to main.tex and docs/REPRODUCTION_CANONICAL.md directly; editing the specific line below it would duplicate an already-correct mechanism
papers/JDIQ_2026/CANONICAL_PAPER_STORY.md,"reviewed, left unedited",historical experiment package (one citation among several in a narrative-strategy document),"Contains one outputs/pub_vote_cmp_all4/ citation as a single supporting data point (S3), not a blanket canonical claim; responsibly editing it requires a scientific-narrative judgment call this stage's brief explicitly excludes"
papers/JDIQ_2026/MASTER_EVIDENCE_INVENTORY.csv,"reviewed, content left unedited (historical provenance preserved)",historical experiment package,"Dated 2026-07-12, predates reports/full_calibrated_core/ (2026-07-15) by ~3 days; still lists outputs/pub_vote_cmp_all4/ as canonical in its own 'canonical' column. Not edited byte-for-byte -- superseded via pointers in papers/JDIQ_2026/README.md and PROJECT_STATUS.md instead, per 'preserve historical paths, label clearly as superseded'"
papers/JDIQ_2026/SECTION_EVIDENCE_MAP.csv,"reviewed, content left unedited (historical provenance preserved)",historical experiment package,Same rationale as MASTER_EVIDENCE_INVENTORY.csv above
papers/JDIQ_2026/EVIDENCE_PROVENANCE_20260730.md,new file (carried forward),all nine categories: historical experiment package; current classical-study canonical evidence; real-LLM exploratory evidence; repair-frontier evidence; extraction evidence; repair-diagnostic evidence; IR evidence audit; meta-audit; pending clustered real-LLM re-analysis,"This is the single file that answers, unambiguously, all six questions the brief poses (what is canonical/historical/exploratory/pending, which evidence supports each result, which files a future paper-writing process should use) -- companioned by the more granular canonical_evidence_inventory.csv produced in this stage"
