path,decision,size_approx,reason
reports/final_revision_task1_pool_cutoff_20260715/ (directory itself),negate blanket exclusion,n/a,Re-included via !reports/final_revision_task1_pool_cutoff_20260715/ so git recurses into it again; this is one of the two directories scripts/run_ir_evidence_audit.py hardcodes as its POOL_CUTOFF source
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_statistics.csv,track,250KB,Directly read by build_from_pool_cutoff() and build_cutoff_robustness() in scripts/run_ir_evidence_audit.py -- the sole source of the '0/110 Holm-significant' claim
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_pair_metrics.csv,track (exception to the <<10MB guideline),68MB,"Directly read by structure_utility_from_pool_cutoff() and write_publication_figure() -- sole source of the per-query n=17,532 structure-utility correlation and the publication figure. Larger than docs/ARTIFACT_POLICY.md's soft guidance, but excluding it leaves a headline result unreproducible; flagged for a future Git-LFS migration if repo size becomes a problem, not silently re-excluded now."
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_method_metrics.csv,keep excluded,254MB,Raw per-method-per-query intermediate; not read by run_ir_evidence_audit.py or any tracked test; regenerable via reports/final_revision_task1_pool_cutoff_20260715/scripts/run_pool_cutoff_study.py
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_exact_pair_metrics.csv,keep excluded,6.7MB,Not read by run_ir_evidence_audit.py; regenerable via scripts/run_pool_cutoff_exact.py; excluded per the 'smallest necessary set' mandate
"reports/final_revision_task1_pool_cutoff_20260715/tables/{feasible_config_grid,pool_cutoff_exact_statistics,pool_cutoff_exact_solver_status,pool_cutoff_exclusions,pool_cutoff_exact_exclusions,pool_cutoff_structural_summary,score_depth_by_ranker,score_depth_union_overlap}.csv",track,<75KB each,Not directly read by run_ir_evidence_audit.py but small (well under docs/ARTIFACT_POLICY.md's guidance) and part of the same coherent canonical tables/ output directory this task produced; tracking them costs nothing and preserves full provenance for the task's own FINAL_REPORT.md narrative
"reports/final_revision_task1_pool_cutoff_20260715/{FINAL_REPORT.md,manifests/,run_manifests/,scripts/,validation/,logs/}",track,~480KB combined,"FINAL_REPORT.md is the human-readable summary; manifests/run_manifests/validation are exactly the 'manifests, hashes, configuration snapshots' docs/ARTIFACT_POLICY.md asks to track; scripts/ contains the actual generator/verification scripts (run_pool_cutoff_study.py, run_pool_cutoff_exact.py, verify_pool_cutoff_outputs.py) -- these ARE the 'related verification scripts' this stage was asked to make locatable; logs/ is small and kept for provenance"
reports/final_revision_task1_pool_cutoff_20260715/outputs/,keep excluded,1.6GB,Bulky regenerable per-query intermediate tree; not read by run_ir_evidence_audit.py; this is the directory the original blanket .gitignore rule was clearly written to exclude
reports/final_revision_task4_exact_baseline_fairness_20260715/ (directory itself),negate blanket exclusion; track in full,1.7MB total,"Re-included via !reports/final_revision_task4_exact_baseline_fairness_20260715/; the whole tables/ directory here is only 1.7MB (well under guidance), so no further per-file exclusion is needed -- includes exact_larger_pool_family_statistics.csv and baseline_targeted_tests_primary_canonical.csv, both directly read by run_ir_evidence_audit.py's build_from_baseline_fairness()/build_cutoff_robustness(), plus the smaller supporting tables, FINAL_REPORT.md, manifests/, scripts/, run_manifests/, validation/, and the one small outputs/prior_vs_rrf_worked_examples.json"
all other reports/final_revision_*/ and reports/final_revision_page_limit_freeze_*/ directories,keep excluded (no change),n/a,Out of scope for this stage: run_ir_evidence_audit.py does not read from task2/task3/task5-task10/page_limit_freeze; the blanket rule continues to apply to those unchanged
