result_id,description,population_or_unit_of_analysis,sample_size,metric,source_data_path,generating_script,report_path,status,canonical_or_superseded,limitations,reproducibility_status
CB-01,Construction -> structure: cyclicity/SCC/edge-weight across normalization x vote-regime combinations,"4 datasets (SciDocs/FiQA/HotpotQA/BRIGHT) x 3 vote regimes (ms1/ms1_drop_mutual/ms2), primary protocol","120/120/52/50 usable queries per dataset (SciDocs/FiQA/HotpotQA/BRIGHT); rankers: BM25, TF-IDF, MiniLM (3 per query)",graph_density; cyclic_query_pct; mean_largest_scc; mean_fas_weight_removed,reports/full_calibrated_core/outputs/calibrated_all4/paper_package/tables/table_primary_graph_structure.csv,reports/full_calibrated_core/scripts/full_calibration_utils.py (run_full_core()),papers/JDIQ_2026/manuscript/main.tex Sec.4.1,complete,canonical,"None found -- n=12 rows (4x3) is a full factorial, not a sample",fully reproducible from tracked tables; raw data regeneration requires external HuggingFace dataset downloads (data/raw/ mostly gitignored)
CB-02,"Repair effects: repaired-minus-unrepaired mean delta nDCG@10, primary protocol",same 4x3 grid x 3 graph methods (copeland/balance/markov),36 (dataset x regime x graph-method) cells,delta_ndcg (paired),reports/full_calibrated_core/outputs/calibrated_all4/paper_package/tables/table_primary_repair_effects.csv,same as CB-01,main.tex Sec.4.2; reports/ir_evidence_audit_20260729T182949Z/FINAL_IR_EVIDENCE_AUDIT.md Sec.2 (36-row source_study=JDIQ_backbone_construction_and_repair),complete,canonical,"3 of 36 cells exceed the 0.01 practical-significance threshold by magnitude, but none survives Holm correction in the corresponding aggregate stats (see CB-06/CB-08)",fully reproducible from tracked tables
CB-03,"Macro method comparison: dataset-macro mean nDCG@10 across 14 methods (graph-free baselines + graph methods + hybrids), ms1 regime",4-dataset macro average per method,14 methods,dataset_macro_mean_ndcg,reports/full_calibrated_core/outputs/calibrated_all4/paper_package/tables/table_primary_macro_method_comparison.csv,same as CB-01,"main.tex Sec.4.2-4.3 (CombSUM=0.554 best, RRF=0.546 close, best repaired Copeland hybrid tied with RRF)",complete,canonical,No repaired-graph method wins the macro comparison in any regime tested,fully reproducible from tracked tables
CB-04,Independent normalization/threshold protocol taxonomy (6 additional protocols) + joint multiplicity-family (F1/F2/F3) analysis,"4 datasets x 6 protocols (independent_minmax_quantile_q0p3/q0p5/q0p7, independent_rank_percentile_q0p3/q0p5/q0p7)",6 protocols x 4 datasets x 3 regimes,paired delta nDCG + Holm/BH-corrected p-values,reports/normalization_protocol_audit_20260714/tables/independent_protocol_*.csv,reports/normalization_protocol_audit_20260714/scripts/run_independent_protocols.py; reports/normalization_protocol_audit_20260714/scripts/analyze_protocol_robustness.py,main.tex Sec.4.2 robustness ('Joint Holm/BH families over independently-defined normalization protocols... remain null'),complete,canonical,"independent_protocol_pair_metrics.csv (~68MB) and adjacent large tables are tracked but not directly read by scripts/run_ir_evidence_audit.py; this family's own headline numbers are quoted directly in main.tex, not re-derived by the current audit script",fully reproducible from tracked tables
CB-05,Candidate-pool / conditional-subset / new-baseline robustness (4 alternative pools; 6-subset conditional analysis; 5-category failure decomposition; PageRank/RankCentrality/Markov-hybrid/Bradley-Terry baselines),4 datasets x 4 alternative candidate-pool policies,4 pools x 4 datasets,paired delta nDCG + baseline nDCG,reports/candidate_pool_conditional_audit_20260714/,reports/candidate_pool_conditional_audit_20260714/scripts/run_pool_robustness.py; reports/candidate_pool_conditional_audit_20260714/scripts/run_conditional_and_failure_analysis.py; reports/candidate_pool_conditional_audit_20260714/scripts/run_baseline_comparison.py,main.tex Sec.4.2-4.3 robustness,complete,canonical,,fully reproducible from tracked tables
CB-06,"Larger-pool (P>k) greedy repair, multi-cutoff (nDCG@5/@10/@20), Holm-corrected significance count","4 datasets pooled (ALL_4_pooled), active ms1 regime",110 active-family cells (40 @nDCG5 + 35 @nDCG10 + 35 @nDCG20),paired delta nDCG + Holm-adjusted p-value (per-cell),reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_statistics.csv (+ pool_cutoff_pair_metrics.csv for the per-query n=17532 structure-utility check),reports/final_revision_task1_pool_cutoff_20260715/scripts/run_pool_cutoff_study.py,main.tex Sec.4.2 ('0/110 active larger-pool cells'); reports/ir_evidence_audit_20260729T182949Z/FINAL_IR_EVIDENCE_AUDIT.md Sec.6,complete,canonical,"0/110 Holm-significant, matching manuscript exactly (independently re-verified this session by direct recomputation from the tracked CSV)",NOW fully reproducible from a fresh clone -- previously blocked by a blanket .gitignore rule; fixed this stage (see gitignore_exception_manifest.csv)
CB-07,"Exact SCIP repair vs. greedy repair, real dataset qrels, per-query, 5 metrics (nDCG@5/@10/@20/MAP/MRR)",4 datasets x 3 regimes,"solved 1,025/1,025 nonempty graphs to proven optimality",mean paired delta (exact-scip minus greedy) per metric,"reports/exact_open_source_ilp_repair_investigation/tables/{structural_per_query,retrieval_metric_paired_per_query}.csv",reports/exact_open_source_ilp_repair_investigation/scripts/run_exact_open_ilp_study.py,"main.tex Sec.4.2 robustness ('1,025/1,025 nonempty graphs... yet the retrieval decision does not change')",complete,canonical,All 5 metrics' |mean delta| <= 0.001 (independently re-verified this session: bright/ms1/nDCG@10 = +0.005654 exact match to 15 significant digits against the audit's own recomputation),fully reproducible from tracked tables; requires SCIP/PySCIPOpt installed to regenerate from raw (not pinned in requirements.txt -- see deferred_cleanup_items.csv)
CB-08,"Larger-pool exact repair (0/56 Holm-significant) + baseline fairness (RRF/CombSUM vs. repaired-hybrid, canonical pool)","4 datasets pooled; 4 datasets x 2 baselines (rrf, combsum)",56 cells (exact) + 8 cells (baseline fairness),"paired delta nDCG + Holm-adjusted significance flag (genuine bool dtype, verified)","reports/final_revision_task4_exact_baseline_fairness_20260715/tables/{exact_larger_pool_family_statistics,baseline_targeted_tests_primary_canonical}.csv","reports/final_revision_task4_exact_baseline_fairness_20260715/scripts/run_exact_repaired_vs_unrepaired.py, run_baseline_pool_fairness.py",main.tex Sec.4.2-4.3 ('0/56 larger-pool Holm-significant... CombSUM and RRF remain competitive'),complete,canonical,,NOW fully reproducible from a fresh clone (fixed this stage)
CB-09,"Repository-scale oracle headroom: mean(max(preserve,repair)) - max(mean(preserve),mean(repair)), query-level (recommended slice)",419 queries (query-level; separate row-level slices exist per dataset x regime with n up to 16790 but are pseudo-replicated and explicitly not the 'recommended' figure in the source file),419 (query-level),oracle headroom (nDCG),reports/repository_scale_headroom_analysis/manuscript_tables/table_3_oracle_headroom.csv,(see that report's own scripts directory),"NOT cited by papers/JDIQ_2026/manuscript/main.tex -- belongs to the separate papers/negative_result_2026/ track (plan-only, no main.tex yet)",complete,canonical (for negative_result_2026 track only),"Headroom 0.0025 (CI [0.0020,0.0030]) is ~8x below the study's own minimum-detectable-effect floor (0.0207)",fully reproducible from tracked tables
LLM-01,Multi-provider real-LLM repair pilot (original pool_size=6 construction),6 real queries (3 SciDocs + 3 FiQA) x 4 providers + aggregate,6 unique queries; 60 rows,repair activation rate; per-row/query-level oracle headroom,reports/multi_provider_repair_pilot_20260729T032348Z/,scripts/run_multi_provider_repair_pilot.py,reports/multi_provider_repair_pilot_20260729T032348Z/ANALYSIS.json (no separate FINAL_REPORT.md at this stage),complete,exploratory (this session),n=6 queries; go_no_go decision NO_HEADROOM_DO_NOT_LEARN; explicitly the trigger for the Branch-B follow-up below,"requires real LLM API credentials (Azure/Gemini/Cohere/Fireworks) to regenerate from scratch -- NOT reproducible offline; raw_calls/*.jsonl checked for secrets this session (none found) but are, per docs/ARTIFACT_POLICY.md, appropriately kept untracked"
LLM-02,"Reviewer-concerns Branch B: same 6 queries, varied pool size/sparsity/aggregation constructions",6 real queries x up to 20 provider/construction variants,180 rows (6 queries x 30 variants),repair activation; oracle headroom per slice,reports/reviewer_concerns_program_20260729T035320Z/checkpoint/branch_b_results.jsonl,scripts/run_reviewer_concerns_program.py,reports/reviewer_concerns_program_20260729T035320Z/FINAL_REPORT.md,complete,exploratory (this session),Own report explicitly states: 'a Branch-A-style scale-up to tens of independent queries... since n=6 unique queries cannot support any reliable predictive claim regardless of feature quality' -- this caveat is the origin of the statistical concern flagged in AUD-02/IR-PENDING-01 below,same reproducibility caveat as LLM-01 (real LLM API calls required)
