study,configuration,raw_or_source_input,preprocessing_script,analysis_script,result_files,figures_or_tables,report,tests,downstream_consumers,issues_found
Original construction study (normalization/threshold protocol taxonomy),"12 protocols total: 6 in full_calibrated_core (ablation_raw_fixed, primary_minmax_retention_matched, ablation_minmax_fixed, ablation_unit_vote_retention, robustness_zscore_retention, robustness_rank_percentile_retention) + 6 in normalization_protocol_audit_20260714 (independent_minmax_quantile_q0p3/q0p5/q0p7, independent_rank_percentile_q0p3/q0p5/q0p7)","BEIR/BRIGHT/HotpotQA qrels + BM25/TF-IDF/MiniLM score files under data/raw/, data/processed/ (mostly gitignored, regenerable via scripts/download_beir_via_irds.py, scripts/prepare_hotpotqa.py, scripts/generate_bm25_scores.py, scripts/generate_dense_scores.py)",scripts/build_votes_file.py,reports/full_calibrated_core/scripts/full_calibration_utils.py (run_full_core()); scripts/run_independent_protocols.py,table_primary_graph_structure.csv; independent_protocol_structural_per_query.csv; independent_protocol_paired_deltas.csv,"papers/JDIQ_2026/manuscript/figures_v2/*.pdf (generated by full_calibrated_core's run, NOT by normalization_protocol_audit)",reports/full_calibrated_core/; reports/normalization_protocol_audit_20260714/FINAL_REPORT.md,tests/test_normalization_protocols.py,"scripts/run_ir_evidence_audit.py (CALIBRATED_CORE constant); papers/JDIQ_2026/manuscript/main.tex Sec.4.1 (hand-typed numbers, not \input)","Manually-copied values: main.tex has ZERO \input{} of any generated table -- every cited number (e.g. BM25 conditional edge-weight share 0.988/0.512) is a hand-typed literal, verified this session by grep count. Hard-coded paths: run_ir_evidence_audit.py hardcodes CALIBRATED_CORE as a _REPO_ROOT-relative constant (portable, not a broken/absolute path)."
"Classical retrieval evaluation (nDCG/MAP/MRR, candidate-pool + qrels alignment, 14-method macro comparison)","primary_minmax_retention_matched protocol, ms1 regime, 4 datasets",Output of the construction study above,"N/A (evaluation, not preprocessing)","reports/full_calibrated_core/scripts/full_calibration_utils.py; src/consistency_ranker/qrels_reference.py (build_candidate_qrels_reference(), the canonical missing-doc=0 convention used by every method)",table_primary_macro_method_comparison.csv; table_primary_repair_effects.csv,"None directly (feeds Table 3/4 numbers in main.tex, not a standalone figure)",reports/full_calibrated_core/,tests/test_qrels_reference.py; tests/test_new_baseline_methods.py,scripts/run_ir_evidence_audit.py build_baseline_verification(); main.tex Sec.4.2-4.3,"None found -- this family's own evaluation code (qrels_reference.py) is the single shared missing-doc-handling implementation, not duplicated per baseline"
"Larger-pool study (P>k greedy repair, multi-cutoff nDCG@5/@10/@20)","4 datasets pooled, active ms1 regime, cutoffs 5/10/20",Candidate pools re-scored at larger depth from the classical backbone's score files,reports/final_revision_task1_pool_cutoff_20260715/scripts/run_pool_cutoff_study.py,same script (analysis and preprocessing are combined in this family),"pool_cutoff_statistics.csv (250KB); pool_cutoff_pair_metrics.csv (68MB); pool_cutoff_method_metrics.csv (254MB, NOT tracked)","figures/structure_vs_utility.png in reports/ir_evidence_audit_20260729T182949Z/ is generated FROM pool_cutoff_pair_metrics.csv by scripts/run_ir_evidence_audit.py's write_publication_figure(), i.e. one level removed from this family's own scripts",reports/final_revision_task1_pool_cutoff_20260715/FINAL_REPORT.md,tests/test_pool_cutoff_evaluation.py,"scripts/run_ir_evidence_audit.py (POOL_CUTOFF constant, build_from_pool_cutoff/build_cutoff_robustness/structure_utility_from_pool_cutoff/write_publication_figure); main.tex Sec.4.2","FIXED THIS STAGE: this whole directory was previously entirely gitignored (blanket reports/final_revision_*/ rule), including the small tables/ files scripts/run_ir_evidence_audit.py directly reads -- meant the audit script would raise FileNotFoundError on a fresh clone. Now tracked via a surgical .gitignore carve-out (see gitignore_exception_manifest.csv)."
"Greedy repair (whole-graph MWFAS, primary + larger-pool families)","same 4x3 grid as CB-01/CB-02, plus the larger-pool P>k grid above",preference graphs from the construction study,N/A,src/consistency_ranker/greedy_fas.py,table_primary_repair_effects.csv; pool_cutoff_statistics.csv,None directly,reports/full_calibrated_core/; reports/final_revision_task1_pool_cutoff_20260715/,"(greedy_fas.py's own unit tests, not enumerated individually here -- see tests/ for FAS-specific test files)",Every downstream evaluation and audit in this table,None found
"Exact repair (SCIP MWFAS) vs. greedy, real dataset qrels","4 datasets x 3 regimes, 5 metrics (nDCG@5/@10/@20/MAP/MRR)",same graphs as greedy repair,reports/exact_open_source_ilp_repair_investigation/scripts/run_exact_open_ilp_study.py,reports/exact_open_source_ilp_repair_investigation/scripts/validate_scip_vs_bruteforce.py,"structural_per_query.csv; retrieval_metric_paired_per_query.csv (both tracked, 4.2MB total)",None directly,reports/exact_open_source_ilp_repair_investigation/,tests/test_exact_mwfas_scip.py,"scripts/run_ir_evidence_audit.py (EXACT_ILP constant, build_from_exact_ilp/build_cutoff_robustness); main.tex Sec.4.2 robustness","RESOLVED (repo Stage 2, 2026-07-30): the older, superseded reports/exact_ilp_repair_investigation/ (no 'open_source') has been moved to reports/_archive/exact_ilp_repair_investigation_SUPERSEDED/. Verified during that move that papers/JDIQ_2026/submission/final_anonymous/SOURCE_MANIFEST.md and the 2 submission-build scripts only used the string 'exact_ilp_repair_investigation' as an internal folder-name label already mapped in code to reports/exact_open_source_ilp_repair_investigation/ -- no active reference was broken. See reports/repo_structural_org_stage2_20260730T014347Z/duplicate_directory_resolution.md Sec.1 for the full account. Requires SCIP/PySCIPOpt installed to regenerate from raw; not pinned as a version in requirements.txt (only mentioned narratively in docs/REPRODUCTION_CANONICAL.md) -- unresolved, see deferred_cleanup_items.csv."
Exact-baseline-fairness study (larger-pool exact repair + RRF/CombSUM vs. repaired-hybrid),"4 datasets pooled (exact, 56 cells) + 4 datasets x 2 baselines (fairness, 8 cells), canonical rrf_union_topk pool",same graphs/pools as the larger-pool study,reports/final_revision_task4_exact_baseline_fairness_20260715/scripts/task4_common.py,run_exact_repaired_vs_unrepaired.py; run_baseline_pool_fairness.py; run_prior_vs_rrf_audit.py; run_three_way_comparison.py; claim_to_evidence_audit.py,exact_larger_pool_family_statistics.csv; baseline_targeted_tests_primary_canonical.csv (+ 10 other small supporting tables),None directly,reports/final_revision_task4_exact_baseline_fairness_20260715/FINAL_REPORT.md; validation/claim_to_evidence_audit.md,tests/test_task4_exact_baseline_fairness.py,"scripts/run_ir_evidence_audit.py (BASELINE_FAIRNESS constant, build_from_baseline_fairness/build_cutoff_robustness); main.tex Sec.4.2-4.3","SAME FIX AS LARGER-POOL STUDY: previously entirely gitignored, now tracked in full (only 1.7MB total, no further exclusion needed)"
"Repair-frontier study (SCC-local/incumbent-protected/confidence-weighted repair, oracle-best-method attribution)","6 real queries x provider/pool-construction variants, reported as '120 query-graphs'",reports/multi_provider_repair_pilot_20260729T032348Z/ + reports/reviewer_concerns_program_20260729T035320Z/ (both real LLM API call outputs),N/A (analysis reads the upstream JSONLs directly),"src/consistency_ranker/repair_frontier/*.py, driven by scripts/run_repair_frontier_pilot.py",checkpoint/frontier_results.jsonl (432 rows); discovery/FRONTIER_ORACLE_HEADROOM.json; sensitivity/SENSITIVITY_TABLES.csv; FINAL_SUMMARY.json,None,reports/repair_frontier_20260729T144742Z/FINAL_REPORT.md,tests/test_repair_frontier.py,scripts/run_ir_evidence_audit.py (REPAIR_FRONTIER_DIR constant); NOT yet cited in main.tex,STATISTICAL ISSUE (not a path/provenance bug): bootstrap_mean_interval() in statistical_inference.py resamples all 120 rows i.i.d.; only 6 underlying queries are truly independent -- reported CIs likely too narrow. See canonical_evidence_inventory.csv row LLM-03 and IR-PENDING-01.
"Extraction study (9 extractors vs. incumbent, incl. new HodgeRank)",same 6 queries / 120 rows as repair-frontier (identical set per its own FINAL_REPORT.md),same two upstream sources as repair-frontier,N/A,"src/consistency_ranker/extraction_study/*.py (extractors.py includes hodge_rank, which calls src/consistency_ranker/baseline_ranking.py's hodge_rank_scores()), driven by scripts/run_extraction_study.py",extraction_results.jsonl (120 rows); tables/EXTRACTOR_SUMMARY.csv; tables/BREAKDOWN_TABLES.csv; FINAL_SUMMARY.json,None,reports/extraction_study_20260729T151610Z/FINAL_REPORT.md,tests/test_extraction_study.py,scripts/run_ir_evidence_audit.py (EXTRACTION_DIR constant); NOT yet cited in main.tex,"STATISTICAL ISSUE: same 6-query clustering concern as repair-frontier, PLUS no Holm/BH correction applied across the 8-non-incumbent-extractor family (every other family in this codebase does apply such correction). See canonical_evidence_inventory.csv row LLM-04."
Repair-diagnostic study (23 pre/post-repair feature associations + grouped-CV predictability),same 6 queries / 120 rows as repair-frontier/extraction (identical set per its own FINAL_REPORT.md),same two upstream sources,N/A,"src/consistency_ranker/repair_diagnostic/*.py, driven by scripts/run_repair_diagnostic_study.py",diagnostic_results.jsonl (120 rows); tables/FEATURE_ASSOCIATIONS.csv; tables/FEATURE_STABILITY.csv; FINAL_SUMMARY.json,None,reports/repair_diagnostic_20260729T162748Z/FINAL_REPORT.md,tests/test_repair_diagnostic.py,scripts/run_ir_evidence_audit.py (REPAIR_DIAGNOSTIC_DIR constant); NOT yet cited in main.tex,"STATISTICAL ISSUE: same 6-query clustering concern; the Holm-corrected p=0.023 for is_cyclic/topk_involvement is computed at n=120 and is likely invalid given n=6 true independent queries. Correctly reported as UNSUPPORTED for the grouped-CV predictor (1 positive example, honest gate) -- no provenance issue there."
Final IR evidence audit (integrates all of the above into one unified table + proposed manuscript text),96 unified rows across 6 source families,ALL of CB-01..CB-09 and LLM-01..LLM-05's output files above (6 hardcoded path constants),N/A,scripts/run_ir_evidence_audit.py,unified_configuration_results.csv; structure_utility_associations.csv; baseline_verification.csv; cutoff_robustness.csv,"figures/structure_vs_utility.png (+ _SOURCE.py, a copy of the generating script embedded for provenance)",reports/ir_evidence_audit_20260729T182949Z/FINAL_IR_EVIDENCE_AUDIT.md,NONE -- scripts/run_ir_evidence_audit.py is not imported/exercised by any test file (verified via grep this session),This report itself; the meta-audit below; canonical_evidence_inventory.csv (this stage),"OVERWRITE RISK: run(output_dir) unconditionally overwrites every file in output_dir with no guard against accidentally re-pointing at an existing directory -- safe only by convention (fresh timestamped dir per invocation), not by code. TWO BUGS CAUGHT DURING ITS OWN CONSTRUCTION (see regression_test_report.md): the holm_active_ms1_family boolean-vs-pvalue trap and the .05 attribute-parsing trap, both now independently regression-tested (this stage). REPRODUCIBILITY GAP (NOW FIXED): 2 of its 6 source directories were previously untracked."
