order,query_id,split,method,budget,budget_frac,ndcg,delta_vs_bm25,topk_overlap_vs_exhaustive,topk_overlap_vs_bm25,kendall_tau_vs_exhaustive
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,0,0.0,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,0,0.0,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,0,0.0,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,0,0.0,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,0,0.0,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,0,0.0,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,1,0.009523809523809525,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,1,0.009523809523809525,1.0,0.2321670729063523,0.42857142857142855,0.8181818181818182,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,1,0.009523809523809525,1.0,0.2321670729063523,0.42857142857142855,0.8181818181818182,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,1,0.009523809523809525,0.7816510974258781,0.013818170332230428,0.5384615384615384,1.0,0.44761904761904764
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,1,0.009523809523809525,0.7816510974258781,0.013818170332230428,0.5384615384615384,1.0,0.44761904761904764
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,1,0.009523809523809525,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,5,0.047619047619047616,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,5,0.047619047619047616,0.9747429528567879,0.20691002576314022,0.5384615384615384,0.6666666666666666,0.3333333333333333
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,5,0.047619047619047616,0.9747429528567879,0.20691002576314022,0.5384615384615384,0.6666666666666666,0.37142857142857144
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,5,0.047619047619047616,0.943473299121064,0.17564037202741634,0.5384615384615384,0.8181818181818182,0.42857142857142855
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,5,0.047619047619047616,0.7816510974258781,0.013818170332230428,0.5384615384615384,0.8181818181818182,0.3904761904761905
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,5,0.047619047619047616,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,10,0.09523809523809523,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,10,0.09523809523809523,0.9818483242455303,0.21401539715188256,0.6666666666666666,0.8181818181818182,0.5047619047619047
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,10,0.09523809523809523,1.0,0.2321670729063523,0.6666666666666666,0.8181818181818182,0.6
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,10,0.09523809523809523,0.8930068676327362,0.12517394053908848,0.6666666666666666,0.8181818181818182,0.4666666666666667
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,10,0.09523809523809523,0.7816510974258781,0.013818170332230428,0.6666666666666666,0.8181818181818182,0.44761904761904764
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,10,0.09523809523809523,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,21,0.2,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,21,0.2,1.0,0.2321670729063523,0.6666666666666666,0.6666666666666666,0.638095238095238
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,21,0.2,0.9747429528567879,0.20691002576314022,0.8181818181818182,0.5384615384615384,0.7142857142857143
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,21,0.2,0.9896062251871525,0.22177329809350477,0.8181818181818182,0.6666666666666666,0.7142857142857143
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,21,0.2,0.9747429528567879,0.20691002576314022,0.8181818181818182,0.6666666666666666,0.6571428571428571
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,21,0.2,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,42,0.4,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,42,0.4,1.0,0.2321670729063523,0.8181818181818182,0.5384615384615384,0.6952380952380952
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,42,0.4,0.9747429528567879,0.20691002576314022,1.0,0.5384615384615384,0.8095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,42,0.4,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,0.7142857142857143
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,42,0.4,0.9747429528567879,0.20691002576314022,0.8181818181818182,0.6666666666666666,0.6952380952380952
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,42,0.4,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,63,0.6,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,63,0.6,0.9896062251871525,0.22177329809350477,0.8181818181818182,0.5384615384615384,0.8095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,63,0.6,0.9896062251871525,0.22177329809350477,0.8181818181818182,0.5384615384615384,0.8285714285714286
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,63,0.6,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,0.8095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,63,0.6,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,0.8285714285714286
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,63,0.6,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,initial_bm25,105,1.0,0.7678329270936477,0.0,0.5384615384615384,1.0,0.4095238095238095
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,sparse_copeland,105,1.0,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,pure_bt_no_prior,105,1.0,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,0.9809523809523809
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,fixed_blend,105,1.0,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,0.9047619047619048
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,regularized_bt,105,1.0,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,exhaustive,105,1.0,0.9896062251871525,0.22177329809350477,1.0,0.5384615384615384,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,0,0.0,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,0,0.0,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,0,0.0,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,0,0.0,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,0,0.0,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,0,0.0,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
