requested_deliverable,status,detail
reports/repo_reproducibility_stage4_20260730T031306Z/canonical_environment_specification.md,exists and valid,Present since Stage 4; content verified consistent with current .venv (Python 3.12.3; PySCIPOpt 6.2.1 confirmed still installed and matching)
reports/repo_reproducibility_stage4_20260730T031306Z/canonical_output_protection_report.md,exists and valid,Present since Stage 4; describes protect_canonical_output() which is present and used by both canonical workflow scripts (verified by grep)
reports/repo_reproducibility_stage4_20260730T031306Z/dependency_discrepancies.csv,exists and valid,"Present since Stage 4; its own row on the CI gap ('CI never installs the [exact] extra... fix now') is the row this Stage 4A directly acted on"
reports/repo_reproducibility_stage4_20260730T031306Z/environment_dependency_inventory.csv,exists and valid,Present since Stage 4; spot-checked one row (networkx) against current .venv installed version -- consistent
reports/repo_reproducibility_stage4_20260730T031306Z/offline_reproduction_report.md,exists and valid,"Present since Stage 4; its stated test count (1285 passed) is now stale relative to the current repository state -- see test_count_normalization.md, not treated as an error requiring correction of a historical report, only as the reason evergreen docs must not hard-code a single count"
reports/repo_reproducibility_stage4_20260730T031306Z/provenance_metadata_schema.md,exists and valid,"Present since Stage 4; schema description verified against the actual src/consistency_ranker/provenance.py implementation, field-for-field -- accurate"
reports/repo_reproducibility_stage4_20260730T031306Z/solver_reproducibility_report.md,exists and valid,"Present since Stage 4; its claims (PySCIPOpt 6.2.1 recovered/pinned, verify_canonical_solver_version() added) independently re-verified this stage by direct inspection of pyproject.toml and mwfas_solver.py -- accurate"
reports/repo_reproducibility_stage4_20260730T031306Z/workflow_command_inventory.csv,exists but one row was stale,"'make secret-scan' row said 'NOT YET CREATED'; scripts/run_secret_scan.py and tests/test_secret_scan.py exist on disk as of the start of Stage 4A (see PRE_CORRECTION_MANIFEST.md). Not re-edited in place (this stage does not rewrite another stage's point-in-time report text) -- the current status is instead recorded in ci_validation_report.md and modified_files.csv."
reports/repo_reproducibility_stage4_20260730T031306Z/ci_validation_report.md,was missing; created this stage (Stage 4A),"Referenced by dependency_discrepancies.csv and workflow_command_inventory.csv as if it already existed, describing a CI fix ('added a second CI step/job installing .[exact]') that had NOT actually been made to .github/workflows/ci.yml as of the start of Stage 4A -- confirmed by direct inspection. This was Stage 4A's primary corrective action (Section 2); the new file documents what Stage 4A actually did, honestly distinguishing it from what Stage 4 only claimed."
reports/repo_reproducibility_stage4_20260730T031306Z/modified_files.csv,was missing; created this stage (Stage 4A),"No such file existed anywhere in the Stage 4 directory. Reconstructed this stage from direct git status/diff evidence (unstaged modifications to pyproject.toml/mwfas_solver.py/Makefile, untracked new scripts/tests/provenance.py) -- see the file itself for the full list and reasons."
.github/workflows/ci.yml solver-enabled CI job,not applicable at Stage 4 (never implemented despite being claimed); implemented this stage (Stage 4A),"See Section 2 of this remediation's summary report and ci_validation_report.md. Remote GitHub-hosted execution has not been triggered -- explicitly recorded as pending, not claimed as passing remotely."
tests for verify_canonical_solver_version()/UnsupportedSolverVersionError,missing at Stage 4; created this stage (Stage 4A),"grep confirmed zero references to either symbol anywhere under tests/ before this stage. tests/test_solver_version_gate.py (14 tests) added this stage; all pass locally in .venv."
Stage 4 meta-audit report directory (claim_verification_matrix.csv / newly_discovered_issues.csv / ci_coverage_review.csv / documentation_accuracy_review.csv / fresh_clone_verification.md / test_quality_review.md),not applicable -- does not exist under any name,"Exhaustive repository and git-history search (see PRE_CORRECTION_MANIFEST.md) found no directory containing files with these names. The closest actually-existing artifact with a similar role is reports/ir_evidence_audit_review_20260729T235053Z/FINAL_META_AUDIT_REVIEW.md, which audits a different, earlier report (the IR evidence audit, not the Stage 4 reproducibility work) and does not contain a claim-verification matrix, CI-coverage review, or fresh-clone verification of Stage 4's own claims. This Stage 4A task treated the Stage 4A task brief's own itemized claims as the operative findings to verify, per the user's explicit direction after being asked about this discrepancy directly (see PRE_CORRECTION_MANIFEST.md, Section 0)."
