path,experiment_dir,size_bytes,sha256,type,category,decision
reports/extraction_study_20260729T151610Z/FINAL_REPORT.md,reports/extraction_study_20260729T151610Z,3118,28a9a2468148705af1d7af9b52b5911307b1dfe3c48a71430aa5f4cd798f9e5d,.md,narrative report or status summary,track in Git
reports/extraction_study_20260729T151610Z/FINAL_SUMMARY.json,reports/extraction_study_20260729T151610Z,9779,938fe69703da91d8e264f4af51d5a9493013fe0de1f0ce12d4a6b4f73c38954f,.json,canonical compact evidence,track in Git
reports/extraction_study_20260729T151610Z/RUN_CONFIG.json,reports/extraction_study_20260729T151610Z,414,3f3d798c69d6f48e7f28f107b29d4200988fef16ef3a5604c3a16da0e6499fc4,.json,reproducibility manifest or schema,track in Git
reports/extraction_study_20260729T151610Z/extraction_results.jsonl,reports/extraction_study_20260729T151610Z,73807,b89c752e9c23c067a0558de12a3bfc5a8ff524ec17898045ba80149f90b20d9b,.jsonl,derived result required to support a paper claim,track in Git
reports/extraction_study_20260729T151610Z/failures.jsonl,reports/extraction_study_20260729T151610Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.jsonl,derived result required to support a paper claim,track in Git
reports/extraction_study_20260729T151610Z/tables/BREAKDOWN_TABLES.csv,reports/extraction_study_20260729T151610Z,9688,c3f590bfbe7f40103d09c62640c9b703b7a2e798d854b7afa38667c79b055c35,.csv,derived result required to support a paper claim,track in Git
reports/extraction_study_20260729T151610Z/tables/EXTRACTOR_SUMMARY.csv,reports/extraction_study_20260729T151610Z,923,548bb5bc150d7ce0e4ff30ae11323b822b3b07cc55c0617774a2cfe920269f73,.csv,derived result required to support a paper claim,track in Git
reports/multi_provider_repair_pilot_20260729T032348Z/ANALYSIS.json,reports/multi_provider_repair_pilot_20260729T032348Z,2885,d8bd942407eae6e7038fab489282bbdecb8f299f9a7f8dae101d5461716f8886,.json,canonical compact evidence,track in Git
reports/multi_provider_repair_pilot_20260729T032348Z/ESTIMATE_main.json,reports/multi_provider_repair_pilot_20260729T032348Z,2312,c2e7ff29ee5219f1ab591e27a01f3a5433490b6159e3e6eaee5d426059a755d1,.json,reproducibility manifest or schema,track in Git
reports/multi_provider_repair_pilot_20260729T032348Z/cache/azure/llm_pairwise_judgments.jsonl,reports/multi_provider_repair_pilot_20260729T032348Z,21730,2db30b1caaa2979c48f57a53642b80b1f3b5ed36ee0b38c4a8923b5bd10011a0,.jsonl,canonical compact evidence,track in Git
