stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.033535,0.033535,0.033535,0.033535
candidate_selection,1,0.001039,0.001039,0.001039,0.001039
pairwise_preference_generation,50,0.007988,0.00016,0.00016,0.000266
graph_construction,50,0.008416,0.000168,0.000155,0.00095
cycle_detection,50,0.001645,3.3e-05,3.2e-05,5e-05
greedy_fas_solver,50,0.036172,0.000723,0.000708,0.001175
ranking_score_sum,50,0.001763,3.5e-05,3.5e-05,5.3e-05
ranking_borda,50,0.001016,2e-05,1.9e-05,4.3e-05
ranking_pagerank,50,0.290266,0.005805,0.001469,0.212477
ranking_topological,50,0.003247,6.5e-05,6.3e-05,9.8e-05
ranking_fas_weighted_balance,50,0.00219,4.4e-05,4.3e-05,8.1e-05
ranking_fas_copeland,50,0.001423,2.8e-05,2.7e-05,4.9e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.003062,6.1e-05,6.1e-05,8.7e-05
ranking_fas_score_augmented_topological,50,0.002866,5.7e-05,5.6e-05,0.000104
ranking_hybrid_rrf_fas_regularized,50,0.002542,5.1e-05,5e-05,8.1e-05
ranking_hybrid_rrf_balance_a05,50,0.002224,4.4e-05,4.5e-05,5.7e-05
ranking_hybrid_rrf_copeland_a03,50,0.001735,3.5e-05,3.3e-05,5.7e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.004629,9.3e-05,9e-05,0.000128
evaluation,50,0.075232,0.001505,0.001513,0.001681
total_pipeline,1,0.482129,0.482129,0.482129,0.482129
