stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,7.3e-05,7.3e-05,7.3e-05,7.3e-05
pairwise_preference_generation,1,0.000445,0.000445,0.000445,0.000445
graph_construction,1,0.002946,0.002946,0.002946,0.002946
cycle_detection,1,0.000199,0.000199,0.000199,0.000199
ranking_score_sum,1,0.0001,0.0001,0.0001,0.0001
ranking_borda,1,3.3e-05,3.3e-05,3.3e-05,3.3e-05
greedy_fas_solver,1,0.01045,0.01045,0.01045,0.01045
ranking_topological,1,0.000119,0.000119,0.000119,0.000119
evaluation,1,0.000316,0.000316,0.000316,0.000316
total_experiment,1,0.01483,0.01483,0.01483,0.01483
