dataset,query_id,method,n_candidates,is_cyclic,n_fas_removed,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,llm_pairwise_copeland,20,True,40,1.0,1.0,0.25,1.0,12.0,12
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,bt_from_llm,20,True,40,1.0,1.0,0.25,1.0,12.0,12
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,win_rate_from_llm,20,True,40,1.0,1.0,0.25,1.0,12.0,12
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,markov_from_llm,20,True,40,1.0,1.0,0.25,1.0,17.0,17
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,tournament_sort_from_llm,20,True,40,1.0,1.0,0.25,1.0,10.0,10
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_topological,20,True,40,1.0,1.0,0.25,1.0,21.0,21
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_weighted_balance,20,True,40,1.0,1.0,0.25,1.0,24.0,24
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_fas_copeland,20,True,40,1.0,1.0,0.25,1.0,24.0,24
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_repaired_copeland_a03,20,True,40,1.0,1.0,0.25,1.0,17.0,17
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_unrepaired_copeland_a03,20,True,40,1.0,1.0,0.25,1.0,12.0,12
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_repaired_balance_a03,20,True,40,1.0,1.0,0.25,1.0,17.0,17
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,hybrid_rrf_unrepaired_balance_a03,20,True,40,1.0,1.0,0.25,1.0,12.0,12
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,llm_pairwise_copeland,20,True,89,0.970929,0.916667,0.2,1.0,20.0,20
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,bt_from_llm,20,True,89,0.961999,0.892857,0.2,1.0,17.0,17
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,win_rate_from_llm,20,True,89,0.970929,0.916667,0.2,1.0,20.0,20
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,markov_from_llm,20,True,89,0.904717,0.804167,0.2,1.0,27.0,27
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,tournament_sort_from_llm,20,True,89,0.95583,0.8875,0.2,1.0,11.0,11
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,greedy_fas_topological,20,True,89,0.681514,0.394538,0.2,1.0,73.0,73
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,greedy_fas_weighted_balance,20,True,89,0.689415,0.404062,0.2,1.0,61.0,61
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,greedy_fas_copeland,20,True,89,0.689415,0.404062,0.2,1.0,61.0,61
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_repaired_copeland_a03,20,True,89,0.961999,0.892857,0.2,1.0,22.0,22
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_unrepaired_copeland_a03,20,True,89,0.970929,0.916667,0.2,1.0,20.0,20
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_repaired_balance_a03,20,True,89,0.961999,0.892857,0.2,1.0,22.0,22
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,hybrid_rrf_unrepaired_balance_a03,20,True,89,0.970929,0.916667,0.2,1.0,20.0,20
