stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.164937,0.164937,0.164937,0.164937
candidate_selection,1,0.005015,0.005015,0.005015,0.005015
pairwise_preference_generation,500,0.073701,0.000147,0.000146,0.000305
graph_construction,500,0.060273,0.000121,0.000108,0.00069
cycle_detection,500,0.00872,1.7e-05,1.6e-05,4.6e-05
greedy_fas_solver,500,0.829448,0.001659,0.001613,0.003411
ranking_score_sum,500,0.013431,2.7e-05,2.7e-05,4.3e-05
ranking_borda,500,0.008511,1.7e-05,1.7e-05,4.2e-05
ranking_pagerank,500,1.582693,0.003165,0.003017,0.176099
ranking_topological,500,0.030291,6.1e-05,5.9e-05,9.1e-05
ranking_fas_weighted_balance,500,0.038442,7.7e-05,3.4e-05,0.021253
ranking_fas_copeland,500,0.013655,2.7e-05,2.7e-05,5.8e-05
ranking_fas_score_augmented_topological,500,0.02392,4.8e-05,4.7e-05,8.5e-05
ranking_hybrid_rrf_fas_regularized,500,0.022803,4.6e-05,4.5e-05,6.9e-05
ranking_hybrid_rrf_balance_a05,500,0.019622,3.9e-05,3.8e-05,7.6e-05
ranking_hybrid_rrf_copeland_a03,500,0.016786,3.4e-05,3.3e-05,6.2e-05
ranking_hybrid_rrf_priority_topo_a03,500,0.038965,7.8e-05,7.6e-05,0.000143
evaluation,500,0.660137,0.00132,0.001314,0.001793
total_pipeline,1,3.74861,3.74861,3.74861,3.74861
